id,date,sleep_duration_hr,steps,nightly_temperature,stress_score,daily_temperature_variation,lightly_active_minutes,moderately_active_minutes,very_active_minutes
621e2e8e67b776a24055b564,2021-05-24,8.683333333333334,8833.0,34.1376871401,78.0,-1.7883249002998594,149.0,24.0,33.0
621e2e8e67b776a24055b564,2021-05-25,9.133333333333333,9727.0,33.7945437956,80.0,-2.4627093726523013,132.0,25.0,31.0
621e2e8e67b776a24055b564,2021-05-26,9.333333333333334,8253.0,34.6110107335,84.0,-2.385801017132203,112.0,27.0,31.0
621e2e8e67b776a24055b564,2021-05-27,10.45,9015.0,34.408304,82.0,-2.124199441495349,133.0,21.0,37.0
621e2e8e67b776a24055b564,2021-05-28,9.35,12949.0,34.1789215686,81.0,-2.396872795942105,136.0,42.0,54.0
621e2e8e67b776a24055b564,2021-05-29,8.966666666666667,25526.0,34.610929368,82.0,-2.638646031763098,305.0,128.0,98.0
621e2e8e67b776a24055b564,2021-05-30,9.25,3796.0,34.4691546763,81.0,-1.0908276840619815,113.0,9.0,0.0
621e2e8e67b776a24055b564,2021-05-31,9.65,9245.0,34.476865285,84.0,-2.5779603630475227,149.0,23.0,34.0
621e2e8e67b776a24055b564,2021-06-01,9.733333333333333,8422.0,34.2844520548,84.0,-2.179900295002817,106.0,30.0,29.0
621e2e8e67b776a24055b564,2021-06-02,9.566666666666666,8284.0,34.5112630662,83.0,-2.090288954414285,105.0,22.0,39.0
621e2e8e67b776a24055b564,2021-06-03,10.266666666666667,8560.0,34.476993517,83.0,-1.9120614913208624,117.0,22.0,36.0
621e2e8e67b776a24055b564,2021-06-04,9.233333333333333,10899.0,34.5432851986,78.0,-1.697884719639666,117.0,51.0,36.0
621e2e8e67b776a24055b564,2021-06-05,10.4,1402.0,34.2186547812,76.0,-1.7004996017790632,81.0,0.0,0.0
621e2e8e67b776a24055b564,2021-06-06,10.166666666666666,7595.0,34.3425081967,74.0,-1.8671159806330075,126.0,30.0,25.0
621e2e8e67b776a24055b564,2021-06-07,9.216666666666669,8378.0,34.0671609403,79.0,-2.6582540449535013,123.0,24.0,34.0
621e2e8e67b776a24055b564,2021-06-08,5.933333333333334,8872.0,34.3476966292,70.0,-2.378683893574278,126.0,28.0,37.0
621e2e8e67b776a24055b564,2021-06-09,8.916666666666666,8114.0,34.0563457944,74.0,-2.320062530006408,133.0,13.0,40.0
621e2e8e67b776a24055b564,2021-06-16,8.9,9653.0,34.5843428571,75.0,-1.6823436356156116,157.0,24.0,40.0
621e2e8e67b776a24055b564,2021-06-17,9.933333333333334,9321.0,34.3996057047,78.0,-1.473291084790909,115.0,25.0,34.0
621e2e8e67b776a24055b564,2021-06-18,9.733333333333333,10999.0,34.5376455479,76.0,-1.824127046813649,138.0,42.0,42.0
621e2e8e67b776a24055b564,2021-06-19,10.383333333333333,9842.0,34.529463141,80.0,-0.711067363658645,95.0,41.0,47.0
